Annotation,Value,Metric,Kernel,GPU,Host,ComputeClock,MemoryClock,Unit,n
vecadd_cuda,258272.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,14680064
vecadd_cuda,276928.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,15728640
vecadd_cuda,276960.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,15728640
vecadd_cuda,277920.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,15728640
vecadd_cuda,277056.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,15728640
vecadd_cuda,278112.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,15728640
vecadd_cuda,295424.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,16777216
vecadd_cuda,294496.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,16777216
vecadd_cuda,293984.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,16777216
vecadd_cuda,295072.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,16777216
vecadd_cuda,294720.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,16777216
vecadd_cuda_float4,19616.0,gpu__time_duration.sum,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,1048576
